epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,8785.86,1.28853,1.01163,0.71049,0.54845,0.44556,0.46285,0.28615,0.27965,2.2941,0.97381,0.70184,0.00808,0.00808,0.00808
74,8906.09,1.24457,1.00484,0.70643,0.54901,0.44879,0.46388,0.28466,0.28055,2.28657,0.9718,0.70116,0.00805333,0.00805333,0.00805333
75,9026.21,1.25861,1.00135,0.71005,0.54866,0.44779,0.46489,0.28788,0.2808,2.28282,0.96896,0.70094,0.00802667,0.00802667,0.00802667
76,9145.99,1.23863,1.00162,0.70629,0.5519,0.44911,0.46664,0.29112,0.28328,2.28105,0.96705,0.70086,0.008,0.008,0.008
77,9266.77,1.25554,1.00482,0.70841,0.55519,0.44651,0.46585,0.289,0.28261,2.2761,0.96838,0.70018,0.00797333,0.00797333,0.00797333
78,9386.6,1.24567,1.00244,0.70404,0.54768,0.45458,0.46749,0.29137,0.28307,2.27263,0.96674,0.70022,0.00794667,0.00794667,0.00794667
79,9506.81,1.23463,0.997,0.70543,0.55778,0.45115,0.46745,0.28901,0.28282,2.27267,0.96614,0.70004,0.00792,0.00792,0.00792
80,9627.34,1.22155,0.98584,0.70547,0.56595,0.44539,0.46929,0.2916,0.2839,2.27465,0.96269,0.70034,0.00789333,0.00789333,0.00789333
81,9747.7,1.26238,0.98455,0.70385,0.56973,0.44065,0.46884,0.29172,0.28455,2.26822,0.96211,0.69978,0.00786667,0.00786667,0.00786667
82,9868.23,1.25485,0.994,0.70671,0.56141,0.45049,0.47076,0.29033,0.28514,2.26385,0.95941,0.69947,0.00784,0.00784,0.00784
83,9988.45,1.19806,0.98525,0.70094,0.56253,0.44753,0.46916,0.28947,0.28388,2.26393,0.95996,0.69923,0.00781333,0.00781333,0.00781333
84,10108.7,1.22124,0.98069,0.70085,0.55969,0.44768,0.46979,0.29204,0.28482,2.26406,0.95944,0.69882,0.00778667,0.00778667,0.00778667
85,10229.2,1.23373,0.98612,0.7036,0.57075,0.44769,0.47247,0.29494,0.28668,2.26347,0.95625,0.69886,0.00776,0.00776,0.00776
86,10348.7,1.22261,0.98017,0.70456,0.56028,0.4538,0.47188,0.29397,0.28608,2.26037,0.95526,0.69873,0.00773333,0.00773333,0.00773333
87,10469.4,1.23013,0.97776,0.70363,0.55839,0.45834,0.47346,0.29337,0.28647,2.25544,0.95502,0.69824,0.00770667,0.00770667,0.00770667
88,10589.7,1.20363,0.97132,0.70144,0.5569,0.46059,0.47376,0.295,0.28765,2.25622,0.95423,0.69772,0.00768,0.00768,0.00768
89,10709.8,1.22245,0.9777,0.70216,0.56101,0.45719,0.47427,0.29429,0.2884,2.2521,0.95161,0.69725,0.00765333,0.00765333,0.00765333
90,10830.3,1.23474,0.97492,0.70325,0.55874,0.46069,0.47487,0.29322,0.28853,2.25045,0.95179,0.69724,0.00762667,0.00762667,0.00762667
91,10950.8,1.21268,0.96926,0.70045,0.56032,0.45895,0.47457,0.29536,0.28898,2.24756,0.94999,0.69675,0.0076,0.0076,0.0076
92,11070.4,1.19914,0.95742,0.69933,0.56384,0.45891,0.47605,0.29665,0.28979,2.24021,0.94849,0.69619,0.00757333,0.00757333,0.00757333
93,11190.8,1.21624,0.96661,0.70132,0.55993,0.46026,0.47609,0.29721,0.28958,2.24065,0.94863,0.69616,0.00754667,0.00754667,0.00754667
94,11311,1.20737,0.95782,0.70042,0.5645,0.45683,0.47715,0.29679,0.2903,2.23845,0.94746,0.69591,0.00752,0.00752,0.00752
95,11431.6,1.21007,0.96324,0.69991,0.55975,0.45605,0.47534,0.29731,0.28953,2.23947,0.94786,0.69568,0.00749333,0.00749333,0.00749333
96,11551.6,1.18525,0.95582,0.69751,0.55617,0.46097,0.47666,0.29605,0.28971,2.24118,0.94727,0.69578,0.00746667,0.00746667,0.00746667
97,11671.9,1.2388,0.95945,0.70151,0.56026,0.46191,0.47719,0.29744,0.29054,2.23788,0.9468,0.69571,0.00744,0.00744,0.00744
98,11792.2,1.19103,0.95229,0.69621,0.55365,0.46868,0.47728,0.2988,0.2911,2.23497,0.94675,0.69543,0.00741333,0.00741333,0.00741333
99,11912.3,1.2263,0.94892,0.7001,0.56204,0.46178,0.47825,0.29789,0.29097,2.23077,0.94444,0.69543,0.00738667,0.00738667,0.00738667
100,12032.8,1.18684,0.94983,0.69746,0.56888,0.45663,0.47895,0.29747,0.29121,2.23019,0.94379,0.69572,0.00736,0.00736,0.00736
101,12153.1,1.20981,0.94543,0.69677,0.56994,0.45805,0.48021,0.29851,0.29239,2.2269,0.94213,0.69508,0.00733333,0.00733333,0.00733333
102,12273,1.18338,0.94347,0.69487,0.56443,0.46314,0.481,0.29805,0.29267,2.2237,0.94253,0.69513,0.00730667,0.00730667,0.00730667
103,12394.3,1.18344,0.95267,0.69739,0.56673,0.46475,0.48137,0.29903,0.29308,2.2207,0.94142,0.69466,0.00728,0.00728,0.00728
104,12514.4,1.24137,0.94602,0.70023,0.57028,0.46458,0.48275,0.30139,0.29399,2.22174,0.94086,0.69429,0.00725333,0.00725333,0.00725333
105,12634.5,1.1908,0.94526,0.69475,0.56838,0.46136,0.48195,0.29998,0.29335,2.22158,0.93939,0.69391,0.00722667,0.00722667,0.00722667
106,12754.7,1.15271,0.93856,0.69432,0.57397,0.45976,0.48187,0.29949,0.29349,2.2207,0.93838,0.69393,0.0072,0.0072,0.0072
107,12875.1,1.20071,0.93691,0.69535,0.5713,0.46306,0.48222,0.29989,0.29365,2.21854,0.93748,0.69385,0.00717333,0.00717333,0.00717333
108,12995.3,1.17955,0.93206,0.69217,0.57159,0.46233,0.48316,0.30039,0.29422,2.21959,0.93764,0.69404,0.00714667,0.00714667,0.00714667
109,13115.5,1.18333,0.926,0.69458,0.56733,0.46597,0.48342,0.30088,0.29456,2.21891,0.93712,0.69396,0.00712,0.00712,0.00712
110,13235.8,1.1784,0.94018,0.6949,0.56698,0.4644,0.48249,0.30062,0.29417,2.22066,0.9366,0.69406,0.00709333,0.00709333,0.00709333
111,13356.5,1.17462,0.92808,0.696,0.56954,0.46253,0.48391,0.30083,0.29463,2.21884,0.93599,0.69394,0.00706667,0.00706667,0.00706667
112,13476.6,1.18306,0.92496,0.69259,0.57086,0.46423,0.48396,0.30112,0.29494,2.21594,0.93519,0.69339,0.00704,0.00704,0.00704
113,13596.9,1.16897,0.92669,0.69398,0.57617,0.46414,0.4846,0.30181,0.29543,2.2127,0.93422,0.6932,0.00701333,0.00701333,0.00701333
