epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,19943.6,0.81988,1.0542,0.68111,0,0,0,0,0,0,0,0,0.00730667,0.00730667,0.00730667
103,20139.3,0.8614,1.03551,0.68331,0,0,0,0,0,0,0,0,0.00728,0.00728,0.00728
104,20335.3,0.84286,1.03913,0.68187,0,0,0,0,0,0,0,0,0.00725333,0.00725333,0.00725333
105,20530.9,0.79767,1.0275,0.67886,0,0,0,0,0,0,0,0,0.00722667,0.00722667,0.00722667
106,20726.7,0.77404,1.04356,0.68133,0,0,0,0,0,0,0,0,0.0072,0.0072,0.0072
107,20922.1,0.84206,1.02892,0.68001,0,0,0,0,0,0,0,0,0.00717333,0.00717333,0.00717333
108,21117.7,0.87699,1.02896,0.68164,0,0,0,0,0,0,0,0,0.00714667,0.00714667,0.00714667
109,21313.4,0.85626,1.02968,0.68066,0,0,0,0,0,0,0,0,0.00712,0.00712,0.00712
110,21508.7,0.82969,1.02031,0.67746,0,0,0,0,0,0,0,0,0.00709333,0.00709333,0.00709333
111,21704.3,0.8306,1.02283,0.67797,0,0,0,0,0,0,0,0,0.00706667,0.00706667,0.00706667
112,21900.1,0.82995,1.01283,0.6775,0,0,0,0,0,0,0,0,0.00704,0.00704,0.00704
113,22095.9,0.83081,1.01253,0.68143,0,0,0,0,0,0,0,0,0.00701333,0.00701333,0.00701333
114,22291.7,0.82352,1.01294,0.67845,0,0,0,0,0,0,0,0,0.00698667,0.00698667,0.00698667
115,22487.2,0.82804,1.02217,0.67977,0,0,0,0,0,0,0,0,0.00696,0.00696,0.00696
116,22682.4,0.82719,1.00693,0.67619,0,0,0,0,0,0,0,0,0.00693333,0.00693333,0.00693333
117,22878.1,0.8343,1.01284,0.67905,0,0,0,0,0,0,0,0,0.00690667,0.00690667,0.00690667
118,23074.1,0.80167,1.01152,0.67543,0,0,0,0,0,0,0,0,0.00688,0.00688,0.00688
119,23269.3,0.83948,1.01291,0.6798,0,0,0,0,0,0,0,0,0.00685333,0.00685333,0.00685333
120,23465.2,0.84039,1.00993,0.67844,0,0,0,0,0,0,0,0,0.00682667,0.00682667,0.00682667
121,23660.5,0.82467,1.00261,0.67901,0,0,0,0,0,0,0,0,0.0068,0.0068,0.0068
122,23856.3,0.82808,1.00941,0.67595,0,0,0,0,0,0,0,0,0.00677333,0.00677333,0.00677333
123,24051.7,0.80862,1.00279,0.67715,0,0,0,0,0,0,0,0,0.00674667,0.00674667,0.00674667
124,24247.5,0.82788,1.00515,0.67752,0,0,0,0,0,0,0,0,0.00672,0.00672,0.00672
125,24442.9,0.82204,1.00356,0.67737,0,0,0,0,0,0,0,0,0.00669333,0.00669333,0.00669333
126,24639.1,0.8201,0.99934,0.67658,0,0,0,0,0,0,0,0,0.00666667,0.00666667,0.00666667
127,24835.1,0.83185,1.00531,0.67471,0,0,0,0,0,0,0,0,0.00664,0.00664,0.00664
128,25030.6,0.86269,0.99072,0.67384,0,0,0,0,0,0,0,0,0.00661333,0.00661333,0.00661333
