epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,35732.7,0.84578,1.13802,0.69832,0,0,0,0,0,0,0,0,0.00733333,0.00733333,0.00733333
102,36153.3,0.82768,1.15455,0.69561,0,0,0,0,0,0,0,0,0.00730667,0.00730667,0.00730667
103,36540,0.86947,1.13277,0.69862,0,0,0,0,0,0,0,0,0.00728,0.00728,0.00728
104,37004.8,0.85066,1.13616,0.69834,0,0,0,0,0,0,0,0,0.00725333,0.00725333,0.00725333
105,37650.5,0.79767,1.12782,0.69352,0,0,0,0,0,0,0,0,0.00722667,0.00722667,0.00722667
106,38296.3,0.7732,1.14785,0.6949,0,0,0,0,0,0,0,0,0.0072,0.0072,0.0072
107,38946.8,0.84517,1.12404,0.69406,0,0,0,0,0,0,0,0,0.00717333,0.00717333,0.00717333
108,39589.2,0.8752,1.13003,0.69645,0,0,0,0,0,0,0,0,0.00714667,0.00714667,0.00714667
109,40236.1,0.86238,1.12728,0.69528,0,0,0,0,0,0,0,0,0.00712,0.00712,0.00712
110,40883.6,0.83198,1.11497,0.69215,0,0,0,0,0,0,0,0,0.00709333,0.00709333,0.00709333
111,41530.7,0.83632,1.11071,0.69133,0,0,0,0,0,0,0,0,0.00706667,0.00706667,0.00706667
112,41943.9,0.83679,1.11109,0.6922,0,0,0,0,0,0,0,0,0.00704,0.00704,0.00704
113,42139.3,0.83495,1.10782,0.69592,0,0,0,0,0,0,0,0,0.00701333,0.00701333,0.00701333
114,42335.1,0.82627,1.10749,0.69345,0,0,0,0,0,0,0,0,0.00698667,0.00698667,0.00698667
115,42530.4,0.83047,1.11747,0.69474,0,0,0,0,0,0,0,0,0.00696,0.00696,0.00696
116,42725.8,0.83189,1.10337,0.69024,0,0,0,0,0,0,0,0,0.00693333,0.00693333,0.00693333
117,42921.2,0.8391,1.11058,0.69444,0,0,0,0,0,0,0,0,0.00690667,0.00690667,0.00690667
118,43117,0.80313,1.10587,0.69045,0,0,0,0,0,0,0,0,0.00688,0.00688,0.00688
119,43312,0.84163,1.10783,0.6948,0,0,0,0,0,0,0,0,0.00685333,0.00685333,0.00685333
120,43507.6,0.84596,1.10594,0.69255,0,0,0,0,0,0,0,0,0.00682667,0.00682667,0.00682667
121,43703.1,0.82578,1.09469,0.69289,0,0,0,0,0,0,0,0,0.0068,0.0068,0.0068
122,43898.7,0.8396,1.10075,0.69143,0,0,0,0,0,0,0,0,0.00677333,0.00677333,0.00677333
123,44094.1,0.8115,1.09571,0.69288,0,0,0,0,0,0,0,0,0.00674667,0.00674667,0.00674667
124,44289.4,0.83112,1.09389,0.69203,0,0,0,0,0,0,0,0,0.00672,0.00672,0.00672
125,44484.6,0.82114,1.10034,0.69191,0,0,0,0,0,0,0,0,0.00669333,0.00669333,0.00669333
126,44680.6,0.83393,1.0969,0.69212,0,0,0,0,0,0,0,0,0.00666667,0.00666667,0.00666667
127,44875.4,0.83419,1.09209,0.68973,0,0,0,0,0,0,0,0,0.00664,0.00664,0.00664
128,45070.9,0.86652,1.08211,0.6872,0,0,0,0,0,0,0,0,0.00661333,0.00661333,0.00661333
129,45266.6,0.81229,1.08449,0.68753,0,0,0,0,0,0,0,0,0.00658667,0.00658667,0.00658667
130,45462.1,0.83476,1.09408,0.69266,0,0,0,0,0,0,0,0,0.00656,0.00656,0.00656
131,45657.2,0.81956,1.07369,0.68893,0,0,0,0,0,0,0,0,0.00653333,0.00653333,0.00653333
132,45852.7,0.76376,1.09239,0.68966,0,0,0,0,0,0,0,0,0.00650667,0.00650667,0.00650667
133,46048.1,0.77914,1.08868,0.69022,0,0,0,0,0,0,0,0,0.00648,0.00648,0.00648
134,46243.3,0.80764,1.0909,0.68867,0,0,0,0,0,0,0,0,0.00645333,0.00645333,0.00645333
135,46438.6,0.78267,1.08277,0.6878,0,0,0,0,0,0,0,0,0.00642667,0.00642667,0.00642667
136,46633.7,0.8219,1.08014,0.68893,0,0,0,0,0,0,0,0,0.0064,0.0064,0.0064
137,46829.7,0.80161,1.07639,0.68977,0,0,0,0,0,0,0,0,0.00637333,0.00637333,0.00637333
138,47024.9,0.78482,1.08568,0.68785,0,0,0,0,0,0,0,0,0.00634667,0.00634667,0.00634667
139,47220.4,0.80868,1.07122,0.68709,0,0,0,0,0,0,0,0,0.00632,0.00632,0.00632
140,47415.7,0.7829,1.08254,0.68748,0,0,0,0,0,0,0,0,0.00629333,0.00629333,0.00629333
141,47610.9,0.83143,1.06853,0.68731,0,0,0,0,0,0,0,0,0.00626667,0.00626667,0.00626667
142,47806.5,0.82215,1.07173,0.68548,0,0,0,0,0,0,0,0,0.00624,0.00624,0.00624
143,48001.6,0.82023,1.06557,0.68621,0,0,0,0,0,0,0,0,0.00621333,0.00621333,0.00621333
144,48196.8,0.80832,1.05933,0.68299,0,0,0,0,0,0,0,0,0.00618667,0.00618667,0.00618667
145,48392.3,0.82285,1.06601,0.68791,0,0,0,0,0,0,0,0,0.00616,0.00616,0.00616
146,48587.7,0.83195,1.05452,0.68801,0,0,0,0,0,0,0,0,0.00613333,0.00613333,0.00613333
147,48783.5,0.76704,1.05843,0.68342,0,0,0,0,0,0,0,0,0.00610667,0.00610667,0.00610667
148,48978.7,0.82218,1.06255,0.68489,0,0,0,0,0,0,0,0,0.00608,0.00608,0.00608
149,49174.2,0.80007,1.04454,0.68207,0,0,0,0,0,0,0,0,0.00605333,0.00605333,0.00605333
150,49369.6,0.80328,1.0514,0.68381,0,0,0,0,0,0,0,0,0.00602667,0.00602667,0.00602667
151,49564.6,0.8242,1.04902,0.68426,0,0,0,0,0,0,0,0,0.006,0.006,0.006
152,49760.8,0.80636,1.06005,0.68523,0,0,0,0,0,0,0,0,0.00597333,0.00597333,0.00597333
153,49956,0.79828,1.04577,0.68226,0,0,0,0,0,0,0,0,0.00594667,0.00594667,0.00594667
154,50151.7,0.82432,1.05281,0.68474,0,0,0,0,0,0,0,0,0.00592,0.00592,0.00592
155,50346.8,0.76708,1.05115,0.68479,0,0,0,0,0,0,0,0,0.00589333,0.00589333,0.00589333
156,50542.5,0.79347,1.04469,0.6823,0,0,0,0,0,0,0,0,0.00586667,0.00586667,0.00586667
157,50737.7,0.76508,1.05973,0.68488,0,0,0,0,0,0,0,0,0.00584,0.00584,0.00584
158,50933.5,0.76228,1.04139,0.68199,0,0,0,0,0,0,0,0,0.00581333,0.00581333,0.00581333
159,51128.5,0.79727,1.04737,0.68307,0,0,0,0,0,0,0,0,0.00578667,0.00578667,0.00578667
160,51323.9,0.7594,1.05761,0.68138,0,0,0,0,0,0,0,0,0.00576,0.00576,0.00576
161,51519.3,0.76327,1.04716,0.68111,0,0,0,0,0,0,0,0,0.00573333,0.00573333,0.00573333
